signal_name,module_name,fanin,fanout,signal_width,op_type,op_complexity,nesting_depth,operation_count,has_mul,has_add,in_loop,is_registered,module_input_count,conditional_mux_count,actual_depth,source_file
valid,priority_encoder_4bit,1,0,1,OR,1,1,1,0,0,0,0,1,0,4,priority_encoder_4bit.v
grant,priority_encoder_8bit,1,0,3,OTHER,3,1,0,0,0,0,0,1,9,6,priority_encoder_8bit.v
valid,priority_encoder_8bit,1,0,1,OR,1,1,1,0,0,0,0,1,0,4,priority_encoder_8bit.v
and_reduce,reduction_ops_8bit,1,0,1,AND,1,0,1,0,0,0,0,1,0,2,reduction_ops_8bit.v
sum,ripple_carry_adder_16bit,1,0,16,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_16bit.v
cout,ripple_carry_adder_16bit,1,0,1,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_16bit.v
sum,ripple_carry_adder_32bit,1,0,32,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_32bit.v
cout,ripple_carry_adder_32bit,1,0,1,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_32bit.v
sum,ripple_carry_adder_4bit,1,0,4,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_4bit.v
cout,ripple_carry_adder_4bit,1,0,1,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_4bit.v
c1,ripple_carry_adder_4bit,1,1,1,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_4bit.v
sum,ripple_carry_adder_8bit,1,0,8,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_8bit.v
cout,ripple_carry_adder_8bit,1,0,1,OTHER,3,0,0,0,0,0,0,2,0,4,ripple_carry_adder_8bit.v
out,rotate_left_8bit,2,0,8,SUB,6,0,6,0,1,0,0,2,0,7,rotate_left_8bit.v
result,saturating_adder_8bit,2,0,8,MUX,2,0,1,0,0,0,0,1,1,3,saturating_adder_8bit.v
sum,saturating_adder_8bit,2,1,9,ADD,6,0,1,0,1,0,0,1,0,9,saturating_adder_8bit.v
detected,sequence_detector_1011,2,0,1,OTHER,3,1,0,0,0,0,0,1,0,6,sequence_detector_1011.v
seg,seven_segment_decoder,1,0,7,OTHER,3,1,0,0,0,0,0,1,11,6,seven_segment_decoder.v
a_gt_b,signed_comparator_8bit,2,0,1,CMP,5,0,1,0,0,0,0,1,0,3,signed_comparator_8bit.v
product,signed_multiplier_8bit,2,0,16,MUL,15,0,1,1,0,0,0,1,0,15,signed_multiplier_8bit.v
